"","Product","FLOW","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"73","Total RD&D in Million USD (2010 prices and exch. rates)","321 Onshore wind technologies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0.713,0.829,0
"74","Total RD&D in Million USD (2010 prices and exch. rates)","322 Offshore wind techs (excl. low wind speed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Total RD&D in Million USD (2010 prices and exch. rates)","323 Wind energy systems and other technologies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.017,0.023,0.412,0.13,0
"76","Total RD&D in Million USD (2010 prices and exch. rates)","329 Unallocated wind energy",89.1,127.665,122.068,83.736,107.108,139.085,71.784,76.676,82.023,100.88,117.054,103.575,79.941,100.537,68.556,79.825,97.631,83,88.319,77.123,63.364,74.021,71.768,64.812,53.064,95.402,110.085,103.82,91.358,132.741,183.328
"77","Total RD&D in Million USD (2010 prices and exch. rates)","33 Ocean energy",30.085,21.448,14.037,6.808,4.219,2.709,3.296,7.832,6.807,6.542,8.996,9.468,1.801,3.182,1.75,1.196,1.373,0.987,2.642,2.803,4.673,5.665,5.464,5.07,10.721,7.215,14.085,13.167,13.82,34.523,63.014
"78","Total RD&D in Million USD (2010 prices and exch. rates)","331 Tidal energy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0
"79","Total RD&D in Million USD (2010 prices and exch. rates)","332 Wave energy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
"80","Total RD&D in Million USD (2010 prices and exch. rates)","333 Salinity gradient power",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Total RD&D in Million USD (2010 prices and exch. rates)","334 Other ocean energy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Total RD&D in Million USD (2010 prices and exch. rates)","339 Unallocated ocean energy",30.085,21.448,14.037,6.808,4.219,2.709,3.296,7.832,6.807,6.542,8.996,9.468,1.801,3.182,1.75,1.196,1.373,0.987,2.642,2.803,4.673,5.665,5.464,5.07,10.721,7.215,14.085,13.167,13.8,34.202,63.014
"83","Total RD&D in Million USD (2010 prices and exch. rates)","34 Biofuels (incl. liquids, solids and biogases)",77.722,114.738,96.962,115.292,109.059,87.053,87.629,68.015,73.398,61.058,60.016,70.827,88.96,88.382,81.618,82.241,74.431,79.849,89.205,76.948,95.286,96.482,93.899,106.352,113.517,139.683,221.947,339.959,280.185,421.437,262.431
"84","Total RD&D in Million USD (2010 prices and exch. rates)","341 Production of liquid biofuels",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.515,3.517,24.007,30.347,71.967,76.01,83.507,185.862,71.843
"85","Total RD&D in Million USD (2010 prices and exch. rates)","3411 Gasoline substitutes (incl. ethanol)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
